wall_time_iso,elapsed_s,elapsed_hhmmss,mode,run_state,temp_s1_c,temp_s2_c,side_motor,top_motor_s1,top_motor_s2,message
2026-03-09T00:19:20,19.74,00:00:19,BOTH,RUNNING,30.409,30.447,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:22,20.80,00:00:20,BOTH,RUNNING,32.238,32.222,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:23,21.82,00:00:21,BOTH,RUNNING,33.512,33.585,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:24,22.87,00:00:22,BOTH,RUNNING,34.335,34.509,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:25,23.89,00:00:23,BOTH,RUNNING,34.872,35.060,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:26,24.91,00:00:24,BOTH,RUNNING,35.327,35.500,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:27,25.95,00:00:25,BOTH,RUNNING,35.739,35.851,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:28,26.99,00:00:26,BOTH,RUNNING,35.953,36.129,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:29,28.03,00:00:28,BOTH,RUNNING,36.213,36.148,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:30,29.06,00:00:29,BOTH,RUNNING,36.292,36.088,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:31,30.09,00:00:30,BOTH,RUNNING,36.345,36.314,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:32,31.14,00:00:31,BOTH,RUNNING,36.383,36.315,RUN,RUN,RUN,Resumed.
2026-03-09T00:19:33,32.17,00:00:32,BOTH,RUNNING,36.450,36.399,RUN,RUN,RUN,Resumed.
