wall_time_iso,elapsed_s,elapsed_hhmmss,mode,run_state,temp_s1_c,temp_s2_c,side_motor,top_motor_s1,top_motor_s2,message
2026-03-09T00:30:32,0.16,00:00:00,S1,RUNNING,24.970,23.964,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:33,1.17,00:00:01,S1,RUNNING,28.452,23.976,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:34,2.19,00:00:02,S1,RUNNING,31.010,23.953,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:36,3.22,00:00:03,S1,RUNNING,32.808,24.014,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:37,4.24,00:00:04,S1,RUNNING,33.914,23.993,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:38,5.25,00:00:05,S1,RUNNING,34.711,24.052,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:39,6.28,00:00:06,S1,RUNNING,35.259,24.074,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:40,7.31,00:00:07,S1,RUNNING,35.622,23.994,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:41,8.34,00:00:08,S1,RUNNING,35.859,23.991,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:42,9.37,00:00:09,S1,RUNNING,36.002,24.060,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:43,10.38,00:00:10,S1,RUNNING,36.154,24.084,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:44,11.41,00:00:11,S1,RUNNING,36.377,23.998,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:45,12.43,00:00:12,S1,RUNNING,36.328,24.050,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:46,13.46,00:00:13,S1,RUNNING,36.319,24.016,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:47,14.47,00:00:14,S1,RUNNING,36.376,24.084,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:48,15.48,00:00:15,S1,RUNNING,36.461,24.138,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:49,16.50,00:00:16,S1,RUNNING,36.517,23.980,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:50,17.52,00:00:17,S1,RUNNING,36.532,23.914,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:51,18.53,00:00:18,S1,RUNNING,36.593,23.877,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:52,19.54,00:00:19,S1,RUNNING,36.578,23.966,RUN,RUN,SLEEP,Test started (S1).
2026-03-09T00:30:53,20.57,00:00:20,S1,RUNNING,36.492,23.988,RUN,RUN,SLEEP,Test started (S1).
