wall_time_iso,elapsed_s,elapsed_hhmmss,mode,run_state,temp_s1_c,temp_s2_c,side_motor,top_motor_s1,top_motor_s2,message
2026-03-09T03:55:06,0.08,00:00:00,S2,RUNNING,24.898,24.909,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:07,1.12,00:00:01,S2,RUNNING,24.578,28.411,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:08,2.15,00:00:02,S2,RUNNING,24.363,30.951,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:09,3.17,00:00:03,S2,RUNNING,24.194,32.533,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:10,4.21,00:00:04,S2,RUNNING,24.065,33.820,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:11,5.26,00:00:05,S2,RUNNING,24.091,34.554,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:12,6.30,00:00:06,S2,RUNNING,24.089,35.226,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:13,7.34,00:00:07,S2,RUNNING,23.996,35.716,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:14,8.40,00:00:08,S2,RUNNING,23.955,35.891,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:16,9.47,00:00:09,S2,RUNNING,23.918,36.099,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:17,10.52,00:00:10,S2,RUNNING,23.952,36.227,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:18,11.54,00:00:11,S2,RUNNING,23.998,36.366,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:19,12.58,00:00:12,S2,RUNNING,24.062,36.373,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:20,13.60,00:00:13,S2,RUNNING,24.004,36.380,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:21,14.64,00:00:14,S2,RUNNING,24.113,36.416,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:22,15.66,00:00:15,S2,RUNNING,24.089,36.534,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:23,16.69,00:00:16,S2,RUNNING,24.137,36.467,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:24,17.73,00:00:17,S2,RUNNING,24.138,36.584,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:25,18.78,00:00:18,S2,RUNNING,24.030,36.580,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:26,19.86,00:00:19,S2,RUNNING,24.041,36.518,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:27,20.89,00:00:20,S2,RUNNING,24.060,36.489,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:28,21.93,00:00:21,S2,RUNNING,23.879,36.549,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:29,22.96,00:00:22,S2,RUNNING,23.852,36.452,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:30,23.98,00:00:23,S2,RUNNING,23.906,36.537,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:31,25.02,00:00:25,S2,RUNNING,23.978,36.553,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:32,26.05,00:00:26,S2,RUNNING,23.985,36.510,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:33,27.09,00:00:27,S2,RUNNING,23.910,36.390,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:34,28.16,00:00:28,S2,RUNNING,23.926,36.442,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:35,29.19,00:00:29,S2,RUNNING,23.909,36.485,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:36,30.21,00:00:30,S2,RUNNING,23.954,36.507,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:37,31.25,00:00:31,S2,RUNNING,24.025,36.498,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:38,32.31,00:00:32,S2,RUNNING,24.126,36.582,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:39,33.37,00:00:33,S2,RUNNING,24.132,36.510,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:40,34.44,00:00:34,S2,RUNNING,24.043,36.403,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:42,35.48,00:00:35,S2,RUNNING,24.106,36.453,RUNNING,SLEEP,RUNNING,Test started (S2).
2026-03-09T03:55:43,36.50,00:00:36,S2,RUNNING,24.077,36.410,RUNNING,SLEEP,RUNNING,Test started (S2).
