wall_time_iso,elapsed_s,elapsed_hhmmss,mode,run_state,temp_s1_c,temp_s2_c,side_motor,top_motor_s1,top_motor_s2,message
2026-03-17T15:26:12,0.04,00:00:00,BOTH,RUNNING,25.086,25.265,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:13,1.06,00:00:01,BOTH,RUNNING,28.385,28.633,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:14,2.08,00:00:02,BOTH,RUNNING,30.881,31.040,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:15,3.10,00:00:03,BOTH,RUNNING,32.534,32.647,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:16,4.13,00:00:04,BOTH,RUNNING,33.772,33.856,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:17,5.15,00:00:05,BOTH,RUNNING,34.544,34.524,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:18,6.17,00:00:06,BOTH,RUNNING,35.108,35.207,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:19,7.19,00:00:07,BOTH,RUNNING,35.649,35.692,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:20,8.22,00:00:08,BOTH,RUNNING,35.863,36.017,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:22,9.24,00:00:09,BOTH,RUNNING,36.002,36.189,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:23,10.26,00:00:10,BOTH,RUNNING,36.257,36.240,RUNNING,RUNNING,RUNNING,Test started (BOTH).
2026-03-17T15:26:23,,,BOTH,END:IDLE,,,,,,
